,(CA-CL)/TA,RE/TA,EBIT/TA,BookEquity/TL
0,-0.341199432,0.0,-0.045954578,-0.005947071
1,0.099386657,-0.459006133,-0.070597071,0.115782123
2,0.085321,-0.235099892,-0.064156937,-0.039052702
3,0.01380292,0.039672321,-0.035437535,1.221475806
4,-0.070462546,-0.878157228,-0.038843945,0.370081411
5,0.040894644,0.0,0.03291964,-0.456282728
6,0.119072005,0.640616953,-0.025264417,0.404377253
7,-0.39230537,-0.259140069,-0.182452184,0.222215267
8,-0.181198457,-2.595558872,-0.530913959,-0.44255896
9,0.179659453,-0.340263794,-0.141904407,-0.035205345
10,-1.72366585,-1.206524609,0.116877239,-0.419904612
11,0.195154817,0.216144284,0.024483431,0.776305386
12,-0.856713857,-2.086900565,-0.642381512,-0.275979419
13,0.100931298,-1.745640871,-0.636830159,-0.182916219
14,0.24748365,0.118689567,-0.013295031,0.679360322
15,0.099809204,-0.123189986,-0.148781775,0.174486628
16,-0.151886533,-0.811759846,-0.059212338,-0.338916705
17,-1.165314,-1.070749,-0.146983,-0.482036
18,0.0745258,-0.951066806,-0.024165379,-0.392218044
19,0.306233693,-0.076832,-0.04108333,-0.014910554
20,0.258695946,-0.084979447,-0.134227927,0.459677725
21,0.140563,-0.782348,-0.253365,-0.169306
22,0.274935238,0.0,-1.014320697,-0.273888506
23,-0.41421278,0.236182826,-0.006208715,0.448686581
24,-0.545698,-0.045675,-0.207326,0.090757
25,-0.0033885481887726,-0.5259362388202282,0.0045799284155976,-0.2302240000490889
26,0.2169267929144155,-0.0132798574928013,-0.0276738543984449,0.3207017751963928
27,0.1270945535941343,0.12575001070095,0.0361893539395862,0.9176609192349848
28,0.6793849808315354,-1.369784944434201,-0.2235945720080553,2.597259070392447
29,0.010276732544985,-0.1142411721739509,-0.0088749977986516,0.2520991241246102
30,0.0,-0.0002508407083114,0.0199222393804234,0.8532935762823284
31,-0.4832292268122408,0.141864688776319,0.017563674061577,0.178250410844713
32,0.809012253611228,-1.066806391528856,-0.1481884659835935,0.1930447916929627
33,-0.0106401692555553,-0.0310134143327372,0.0300765741100844,0.271809235830775
34,0.8743791584668729,-3.8078280698466247,-0.6398181988567144,10.474193548387095
35,0.1175829930763465,-0.0407008841784226,-0.0339063348804227,0.7361639475535532
36,0.1413862110447124,-0.4613667470184981,-0.1305377234352025,0.4334486397471145
37,0.009459012969677,-0.0273095848753034,0.0109916824777309,0.3123021483624446
38,-0.0149380625741657,-0.4975752430384713,-0.0163261073003193,-0.0852219499644927
39,0.1825246178208222,0.0196680383140962,0.03683222480571,0.6620966698401108
40,0.0671901602107063,-0.290873533969817,-0.0782197179058949,0.1089781908265347
41,0.5071673469387755,-0.3915102040816327,-0.324269387755102,1.2254923334060024
42,0.3694126436720104,0.636599775796751,0.1098723004644592,2.434984841992563
43,0.5011472372826623,-1.0031726068063749,-0.2269660247803253,0.4342675128182209
44,0.1597544216061185,0.155569105249435,-0.0013408764992177,0.4173883686167536
45,0.2845684451795203,1.0779464028640662,-0.0015306498030932,1.191351495327282
46,0.7085651280509196,-0.4136470706159474,-0.4244223926226632,3.3814229249011856
47,0.4424363800632435,-4.791832555338051,-0.9639873513025148,-0.3716184633086118
48,-0.3594513783155701,-0.0161972113150092,-0.0111625030050484,0.0648079387025079
49,0.1552053888254044,0.1269471341793468,-0.1182384074096349,0.4455432632745767
